pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
Kepler-845,Kepler-845 b,Transit,0.92785982,471,0.79,0.75,2.04,0.059992,2454966.906037,Kepler
Kepler-1306,Kepler-1306 b,Transit,16.29595382,1130,0.98,0.97,1.91,0.08871,2454966.90933,Kepler
Kepler-1551,Kepler-1551 b,Transit,24.4973698,1560,1.14,1.22,2.66,0.21171,2454966.92307,Kepler
Kepler-1526,Kepler-1526 b,Transit,3.908632,576,0.73,0.69,2.43,0.076779,2454966.92988,Kepler
Kepler-957,Kepler-957 b,Transit,5.90741354,749,0.81,0.75,5.5,0.045267,2454966.934664,Kepler
Kepler-1290,Kepler-1290 b,Transit,4.69500134,1321,0.95,0.93,1.42,0.12346,2454966.93999,Kepler
Kepler-808,Kepler-808 b,Transit,0.63133235,321,0.76,0.71,1.46,0.04615,2454966.944034,Kepler
Kepler-780,Kepler-780 b,Transit,0.67737516,520,1.01,1.02,0.89,0.076012,2454966.94581,Kepler
Kepler-1064,Kepler-1064 b,Transit,16.54080322,374,0.85,0.79,1.55,0.106,2454966.9536,Kepler
Kepler-1029,Kepler-1029 b,Transit,4.41769648,422,0.82,0.77,1.26,0.079837,2454966.96117,Kepler
Kepler-1644,Kepler-1644 b,Transit,21.0907758,592,0.89,0.86,1.88,0.19287,2454966.96197,Kepler
Kepler-1254,Kepler-1254 d,Transit,5.72717226,676,0.78,0.75,1.31,0.09071,2454966.96398,Kepler
Kepler-927,Kepler-927 b,Transit,9.1149903,879,0.99,0.99,1.72,0.186883,2454966.97624,Kepler
Kepler-1571,Kepler-1571 b,Transit,3.38555488,802,1.23,1.39,1.52,0.07975,2454966.97796,Kepler
Kepler-466,Kepler-466 c,Transit,3.70921385,436,1.04,1.05,1.25,0.106563,2454966.98373,Kepler
Kepler-854,Kepler-854 b,Transit,2.14463285,741,1.17,1.27,16.72,0.162617,2454966.98434,Kepler
Kepler-1278,Kepler-1278 b,Transit,3.23941344,743,1.11,1.16,1.01,0.11058,2454966.98443,Kepler
Kepler-1560,Kepler-1560 b,Transit,3.03195744,529,1.02,1.02,0.89,0.06904,2454966.98988,Kepler
Kepler-57,Kepler-57 c,Transit,11.6092567,674,0.83,0.73,1.55,0.0711,2454966.99083,Kepler
Kepler-1074,Kepler-1074 b,Transit,5.94566534,245,0.6,0.57,1.25,0.090571,2454966.99298,Kepler
Kepler-1240,Kepler-1240 b,Transit,4.8663815,614,0.98,0.96,1.15,0.09296,2454967.01713,Kepler
Kepler-464,Kepler-464 b,Transit,7.25696522,653,1.21,1.59,3.3,0.202662,2454967.023293,Kepler
Kepler-824,Kepler-824 b,Transit,4.51436633,1352,1.15,1.22,1.87,0.12317,2454967.02904,Kepler
Kepler-866,Kepler-866 b,Transit,2.61703254,690,0.75,0.71,1.63,0.085213,2454967.03179,Kepler
Kepler-1254,Kepler-1254 c,Transit,3.60084276,676,0.78,0.75,1.3,0.08254,2454967.03446,Kepler
