pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
Kepler-1177,Kepler-1177 b,Transit,106.247547,829,0.98,0.97,1.9,0.5695,2454968.7451,Kepler
Kepler-1226,Kepler-1226 b,Transit,17.2923453,779,1.02,1.02,1.45,0.28017,2454968.74985,Kepler
Kepler-271,Kepler-271 c,Transit,7.41086267,418,0.9,0.87,0.95,0.136538,2454968.75273,Kepler
Kepler-750,Kepler-750 c,Transit,4.08899022,1181,1.15,1.23,1.62,0.14438,2454968.76116,Kepler
Kepler-33,Kepler-33 e,Transit,31.7844,1113,1.29,1.82,4.02,0.3708,2454968.8715,Kepler
Kepler-1555,Kepler-1555 b,Transit,8.10501635,1382,1.04,1.06,1.61,0.18512,2454968.88523,Kepler
Kepler-1044,Kepler-1044 b,Transit,6.77408868,1507,1.08,1.11,2.67,0.10915,2454968.95514,Kepler
Kepler-1574,Kepler-1574 b,Transit,6.9424334,1275,1.06,1.08,1.29,0.1413,2454968.95984,Kepler
Kepler-1191,Kepler-1191 b,Transit,5.60014851,876,0.85,0.81,1.51,0.116742,2454968.96163,Kepler
Kepler-754,Kepler-754 b,Transit,14.5596237,1192,1.06,1.08,2.01,0.24,2454968.96181,Kepler
Kepler-1576,Kepler-1576 b,Transit,6.98471973,539,1.05,1.06,1.04,0.11346,2454968.99535,Kepler
Kepler-1005,Kepler-1005 b,Transit,6.49801525,515,1,1.06,1.5,0.096529,2454969.00125,Kepler
Kepler-1194,Kepler-1194 b,Transit,16.22371307,616,0.94,0.92,1.51,0.10425,2454969.02705,Kepler
Kepler-920,Kepler-920 b,Transit,6.53192704,926,0.89,0.85,2.42,0.12985,2454969.03388,Kepler
Kepler-850,Kepler-850 b,Transit,7.19303878,1535,1.06,1.09,1.78,0.14313,2454969.0517,Kepler
Kepler-1246,Kepler-1246 b,Transit,11.32271513,435,0.73,0.69,1.36,0.12613,2454969.05664,Kepler
Kepler-1129,Kepler-1129 b,Transit,24.3397804,1258,1,1,2.96,0.13717,2454969.05935,Kepler
Kepler-1374,Kepler-1374 b,Transit,10.65276707,1135,0.85,0.81,2.29,0.11296,2454969.08934,Kepler
Kepler-1419,Kepler-1419 b,Transit,42.5215895,1444,1.01,1.01,2.86,0.24158,2454969.1288,Kepler
Kepler-935,Kepler-935 b,Transit,4.88083852,482,0.78,0.73,1.35,0.104592,2454969.19778,Kepler
Kepler-26,Kepler-26 d,Transit,3.543919,339,0.54,0.51,1.07,0.0838,2454969.25903,Kepler
Kepler-788,Kepler-788 b,Transit,8.39846269,1649,1.16,1.23,2.55,0.27033,2454969.31155,Kepler
Kepler-772,Kepler-772 b,Transit,12.99207337,689,0.98,1.11,1.82,0.249325,2454969.3195,Kepler
Kepler-1534,Kepler-1534 b,Transit,5.71668872,1107,0.9,0.86,1.89,0.08163,2454969.32209,Kepler
Kepler-15,Kepler-15 b,Transit,4.942782,598,1.02,0.99,10.76,0.1458,2454969.328651,Kepler
Kepler-779,Kepler-779 b,Transit,7.09714223,224,0.46,0.44,0.92,0.0935,2454969.34344,Kepler
Kepler-1431,Kepler-1431 b,Transit,5.86601526,1270,1.03,1.03,1.47,0.16575,2454969.35597,Kepler
Kepler-1008,Kepler-1008 b,Transit,12.43931193,299,0.81,0.78,1.28,0.13004,2454969.37781,Kepler
Kepler-1248,Kepler-1248 b,Transit,7.46725407,540,1.21,1.21,1.18,0.15471,2454969.38542,Kepler
Kepler-1293,Kepler-1293 b,Transit,5.57654784,770,1.18,1.28,0.97,0.15604,2454969.42771,Kepler
Kepler-919,Kepler-919 b,Transit,11.04603384,1219,1.15,1.21,2.25,0.19996,2454969.44083,Kepler
Kepler-1018,Kepler-1018 b,Transit,49.1013514,894,0.91,0.88,2.58,0.26346,2454969.46989,Kepler
Kepler-871,Kepler-871 b,Transit,22.0459018,1695,1.11,1.14,3.74,0.2108,2454969.47832,Kepler
Kepler-810,Kepler-810 b,Transit,4.59725385,1554,1.03,1.04,1.93,0.11762,2454969.48067,Kepler
Kepler-745,Kepler-745 b,Transit,9.93143556,1199,1.04,1.04,2.16,0.23579,2454969.49303,Kepler
Kepler-934,Kepler-934 b,Transit,55.6738309,603,0.81,0.77,2.09,0.15854,2454969.54348,Kepler
Kepler-1160,Kepler-1160 b,Transit,7.97034958,1293,0.92,0.89,2.14,0.115271,2454969.55753,Kepler
Kepler-1234,Kepler-1234 b,Transit,11.94014029,866,0.8,0.76,2.81,0.14467,2454969.55927,Kepler
Kepler-944,Kepler-944 b,Transit,43.3167737,1035,0.86,0.83,2.63,0.21104,2454969.57338,Kepler
Kepler-884,Kepler-884 b,Transit,5.69919514,420,1,0.94,1.23,0.099492,2454969.58754,Kepler
Kepler-1230,Kepler-1230 b,Transit,9.95661537,1433,1.06,1.08,2.71,0.1196,2454969.59034,Kepler
Kepler-848,Kepler-848 b,Transit,6.91134416,797,1.01,1.2,1.7,0.235646,2454969.6481,Kepler
Kepler-463,Kepler-463 b,Transit,8.98101683,336,0.87,0.9,3.05,0.078071,2454969.649263,Kepler
Kepler-26,Kepler-26 e,Transit,46.827915,339,0.54,0.51,2.41,0.0868,2454969.74318,Kepler
Kepler-1011,Kepler-1011 b,Transit,5.75322197,860,0.91,0.88,2.87,0.070117,2454969.75619,Kepler
Kepler-1464,Kepler-1464 b,Transit,31.7785901,692,1.02,1.01,1.66,0.33567,2454969.76851,Kepler
Kepler-1456,Kepler-1456 b,Transit,18.1373829,379,0.64,0.62,1.14,0.1479,2454969.80802,Kepler
Kepler-989,Kepler-989 b,Transit,7.96431535,484,0.82,0.78,2.21,0.06242,2454969.81672,Kepler
Kepler-1418,Kepler-1418 b,Transit,22.4764425,499,0.77,0.72,1.66,0.1483,2454969.83193,Kepler
Kepler-796,Kepler-796 b,Transit,6.40087618,377,0.93,1.09,1.3,0.104325,2454969.88109,Kepler
Kepler-999,Kepler-999 b,Transit,5.99185702,568,1.29,1.65,2.34,0.06758,2454969.88214,Kepler
Kepler-1298,Kepler-1298 b,Transit,7.12811928,498,1.45,2,1.31,0.23392,2454969.88305,Kepler
Kepler-1286,Kepler-1286 b,Transit,11.25402929,1150,1,0.98,2.15,0.19496,2454969.88902,Kepler
Kepler-831,Kepler-831 b,Transit,5.62153941,577,0.99,0.97,1.27,0.098492,2454969.8905,Kepler
Kepler-1169,Kepler-1169 b,Transit,6.11009134,538,1.24,1.23,0.94,0.10196,2454969.913,Kepler
Kepler-836,Kepler-836 b,Transit,11.36112327,1003,1.03,1.04,2.73,0.175221,2454969.92653,Kepler
Kepler-1407,Kepler-1407 b,Transit,20.0711504,1275,1.1,1.15,2.25,0.25571,2454969.93,Kepler
Kepler-50,Kepler-50 c,Transit,9.37647,255,1.24,1.58,2.17,0.0858,2454969.958,Kepler
Kepler-427,Kepler-427 b,Transit,10.290994,1100,0.96,1.35,13.79,0.1786,2454970.02207,Kepler
Kepler-1154,Kepler-1154 c,Transit,8.45808312,1531,1.26,1.43,2.36,0.12783,2454970.0593,Kepler
Kepler-923,Kepler-923 b,Transit,6.93366476,966,1.11,1.26,1.38,0.18008,2454970.07236,Kepler
Kepler-978,Kepler-978 b,Transit,49.6221509,624,1.07,1.09,2.99,0.29554,2454970.10026,Kepler
Kepler-411,Kepler-411 b,Transit,3.00516,153,0.83,0.79,1.88,0.0917,2454970.1027,Kepler
Kepler-1270,Kepler-1270 b,Transit,6.03356196,1204,1.28,3.38,3.32,0.42767,2454970.11912,Kepler
Kepler-968,Kepler-968 c,Transit,5.70940492,312,0.76,0.7,1.69,0.065704,2454970.1221,Kepler
Kepler-1622,Kepler-1622 b,Transit,10.8118737,927,1.31,1.5,1.47,0.10879,2454970.1323,Kepler
Kepler-1161,Kepler-1161 b,Transit,10.71252541,428,0.59,0.57,2.13,0.113413,2454970.16618,Kepler
Kepler-1336,Kepler-1336 c,Transit,5.77721211,822,0.94,1.3,1.71,0.10096,2454970.16681,Kepler
Kepler-1272,Kepler-1272 b,Transit,51.1309704,896,1.06,1.09,2.37,0.24979,2454970.17952,Kepler
Kepler-832,Kepler-832 b,Transit,7.1396941,1346,0.92,0.9,2.06,0.16371,2454970.18577,Kepler
Kepler-897,Kepler-897 b,Transit,8.0472642,1147,1.03,1.04,2.39,0.188,2454970.2086,Kepler
Kepler-1487,Kepler-1487 b,Transit,7.31946363,1094,1.38,1.63,2.13,0.20163,2454970.21851,Kepler
Kepler-1570,Kepler-1570 b,Transit,26.548955,463,0.92,0.89,1.07,0.33246,2454970.23871,Kepler
Kepler-898,Kepler-898 b,Transit,5.8706191,479,0.65,0.62,1.49,0.104096,2454970.24953,Kepler
Kepler-447,Kepler-447 b,Transit,7.79430132,283,1,1.05,18.49,0.0473,2454970.259778,Kepler
Kepler-868,Kepler-868 b,Transit,5.03251791,1269,0.93,0.89,2.05,0.137775,2454970.33295,Kepler
Kepler-1424,Kepler-1424 b,Transit,29.6091744,620,1.02,1.07,1.16,0.22796,2454970.33591,Kepler
Kepler-1057,Kepler-1057 b,Transit,14.08827448,1462,1.07,1.1,3.36,0.173396,2454970.34424,Kepler
Kepler-1022,Kepler-1022 b,Transit,10.99469878,455,0.71,0.68,2.36,0.068475,2454970.35766,Kepler
Kepler-474,Kepler-474 b,Transit,5.66067294,568,0.99,1.08,3.06,0.194675,2454970.415501,Kepler
Kepler-812,Kepler-812 b,Transit,10.11716531,1482,1.45,1.71,3.55,0.20579,2454970.4446,Kepler
Kepler-1231,Kepler-1231 b,Transit,10.41725184,948,1.01,1,1.42,0.17446,2454970.45911,Kepler
Kepler-818,Kepler-818 b,Transit,10.03538581,967,0.94,0.92,5.11,0.142437,2454970.47131,Kepler
Kepler-490,Kepler-490 b,Transit,3.26869515,1249,1.08,1.12,11.65,0.1438812,2454970.481707,Kepler
Kepler-1590,Kepler-1590 b,Transit,7.61760804,900,1.11,1.16,1.14,0.14496,2454970.4959,Kepler
Kepler-1401,Kepler-1401 b,Transit,11.20066445,1242,1.07,1.1,1.68,0.15775,2454970.5046,Kepler
Kepler-988,Kepler-988 b,Transit,17.76080053,248,0.55,0.53,2.07,0.07025,2454970.50628,Kepler
Kepler-925,Kepler-925 b,Transit,33.8678531,623,0.77,0.72,2.34,0.15342,2454970.51356,Kepler
Kepler-982,Kepler-982 b,Transit,15.7738221,702,1.16,1.29,2.25,0.206013,2454970.53085,Kepler
Kepler-491,Kepler-491 b,Transit,4.22538451,657,1.04,1.03,8.92,0.1174288,2454970.560674,Kepler
Kepler-1192,Kepler-1192 b,Transit,25.2034787,1108,0.86,0.83,2.36,0.18967,2454970.56218,Kepler
Kepler-863,Kepler-863 b,Transit,15.59461874,1145,0.96,0.95,2.9,0.211967,2454970.56547,Kepler
Kepler-1448,Kepler-1448 b,Transit,12.27065865,786,0.95,0.93,1.61,0.12942,2454970.57044,Kepler
Kepler-769,Kepler-769 c,Transit,15.9870174,1362,1.19,1.28,1.79,0.17829,2454970.5914,Kepler
Kepler-1198,Kepler-1198 b,Transit,7.6847716,777,0.93,0.9,1.47,0.10829,2454970.63985,Kepler
Kepler-1190,Kepler-1190 b,Transit,10.45843441,384,0.76,0.72,1.33,0.12925,2454970.65022,Kepler
Kepler-1060,Kepler-1060 b,Transit,46.8779367,861,0.99,0.99,2.38,0.40146,2454970.66335,Kepler
Kepler-801,Kepler-801 b,Transit,11.41928253,419,0.67,0.63,2,0.166112,2454970.6677,Kepler
Kepler-1092,Kepler-1092 b,Transit,58.6017925,914,0.99,1,2.07,0.23096,2454970.66944,Kepler
Kepler-1017,Kepler-1017 b,Transit,7.23400469,554,0.93,0.87,1.99,0.0902,2454970.67728,Kepler
Kepler-984,Kepler-984 b,Transit,43.0342272,461,0.96,0.93,2.12,0.253025,2454970.69021,Kepler
KOI-351,KOI-351 b,Transit,7.008151,780,1.2,1.2,1.31,0.1663,2454970.6906,Kepler
Kepler-758,Kepler-758 c,Transit,4.75793986,1353,1.16,1.42,1.69,0.19487,2454970.69702,Kepler
Kepler-768,Kepler-768 b,Transit,11.3910025,795,0.82,0.78,1.79,0.09571,2454970.70996,Kepler
Kepler-1587,Kepler-1587 b,Transit,9.4060467,907,1.08,1.22,1.33,0.21504,2454970.7175,Kepler
Kepler-1449,Kepler-1449 b,Transit,13.2274528,1321,1.08,1.1,1.68,0.25433,2454970.72197,Kepler
Kepler-1370,Kepler-1370 c,Transit,7.44142113,878,1.19,1.29,1.27,0.19712,2454970.7455,Kepler
Kepler-59,Kepler-59 b,Transit,11.8681707,1021,1.04,0.94,1.1,0.249,2454970.74767,Kepler
Kepler-1468,Kepler-1468 b,Transit,8.23984869,1130,1.04,1.05,1.73,0.23404,2454970.75457,Kepler
Kepler-1210,Kepler-1210 b,Transit,8.07124073,1155,0.94,0.92,1.7,0.11054,2454970.76385,Kepler
Kepler-1381,Kepler-1381 b,Transit,25.3842686,1306,0.96,0.94,2.25,0.15158,2454970.77342,Kepler
Kepler-969,Kepler-969 b,Transit,34.1731714,411,0.92,0.82,2.07,0.186463,2454970.7914,Kepler
Kepler-1147,Kepler-1147 b,Transit,10.62784997,1476,1.09,1.14,2.61,0.20888,2454970.82181,Kepler
Kepler-1640,Kepler-1640 b,Transit,7.5844126,1379,1.27,1.43,4.82,0.1588,2454970.8486,Kepler
Kepler-1086,Kepler-1086 b,Transit,18.78425728,464,0.7,0.66,2.44,0.134746,2454970.88324,Kepler
Kepler-65,Kepler-65 d,Transit,8.13123,291,1.25,1.41,1.52,0.1708,2454970.9905,Kepler
Kepler-806,Kepler-806 b,Transit,8.09219642,260,0.99,1.16,1.14,0.22729,2454971.04671,Kepler
Kepler-948,Kepler-948 b,Transit,7.76846622,884,0.96,0.94,1.85,0.18271,2454971.0625,Kepler
Kepler-1506,Kepler-1506 b,Transit,14.0329154,1318,0.95,0.93,1.32,0.28517,2454971.0626,Kepler
Kepler-14,Kepler-14 b,Transit,6.790123,980,1.51,2.05,12.733,0.2591,2454971.08737,Kepler
Kepler-496,Kepler-496 b,Transit,8.30864937,655,0.86,0.82,2.32,0.13421,2454971.10889,Kepler
Kepler-940,Kepler-940 b,Transit,59.6225257,1317,0.97,0.96,3.34,0.26771,2454971.13385,Kepler
Kepler-877,Kepler-877 b,Transit,18.45847097,572,0.85,0.81,2.12,0.137821,2454971.16463,Kepler
Kepler-1133,Kepler-1133 b,Transit,11.55562343,821,0.93,0.9,1.97,0.0689,2454971.19596,Kepler
Kepler-804,Kepler-804 b,Transit,14.37457351,648,1.01,1.05,1.94,0.19925,2454971.20222,Kepler
Kepler-744,Kepler-744 b,Transit,12.06222443,486,0.94,0.93,1.62,0.087529,2454971.22369,Kepler
Kepler-1543,Kepler-1543 b,Transit,6.96710269,1114,1.39,1.65,2.71,0.15179,2454971.24152,Kepler
Kepler-1610,Kepler-1610 b,Transit,8.70181574,1063,0.91,0.87,1.61,0.12579,2454971.24368,Kepler
Kepler-887,Kepler-887 c,Transit,7.63846023,831,1.19,1.29,1.13,0.16546,2454971.24467,Kepler
Kepler-867,Kepler-867 b,Transit,150.242127,824,0.92,0.91,4.64,0.45746,2454971.28724,Kepler
Kepler-1476,Kepler-1476 b,Transit,10.35863224,1218,0.98,0.96,1.67,0.10725,2454971.30381,Kepler
Kepler-1505,Kepler-1505 b,Transit,30.8609366,359,0.93,0.86,0.93,0.17121,2454971.31545,Kepler
Kepler-529,Kepler-529 c,Transit,12.8345022,787,1.07,1.14,2,0.136108,2454971.32478,Kepler
Kepler-1225,Kepler-1225 b,Transit,7.01075434,1241,1.13,1.19,1.82,0.089675,2454971.40066,Kepler
Kepler-973,Kepler-973 b,Transit,49.6077331,297,0.86,0.78,1.96,0.118433,2454971.41415,Kepler
Kepler-1421,Kepler-1421 b,Transit,6.9131112,675,1.25,1.42,0.93,0.19867,2454971.424,Kepler
Kepler-1260,Kepler-1260 b,Transit,19.1187753,1041,1.06,1.08,1.77,0.28637,2454971.42568,Kepler
Kepler-479,Kepler-479 b,Transit,12.49341307,371,0.86,0.81,2.12,0.093258,2454971.461536,Kepler
Kepler-916,Kepler-916 b,Transit,32.2968798,769,0.85,0.81,1.76,0.19237,2454971.52078,Kepler
Kepler-501,Kepler-501 b,Transit,5.64067757,1044,1.03,1.04,4.3,0.1209,2454971.556194,Kepler
Kepler-57,Kepler-57 b,Transit,5.7293196,674,0.83,0.73,2.19,0.0466,2454971.5584,Kepler
Kepler-764,Kepler-764 b,Transit,7.33683936,1013,0.92,0.89,1.64,0.14633,2454971.58272,Kepler
Kepler-502,Kepler-502 b,Transit,4.28686431,1433,1.15,1.22,4.77,0.184296,2454971.615466,Kepler
Kepler-961,Kepler-961 b,Transit,16.87727414,607,0.96,0.9,2.55,0.157646,2454971.6479,Kepler
Kepler-467,Kepler-467 b,Transit,24.99324193,458,1.05,1.37,2.25,0.246179,2454971.68238,Kepler
Kepler-1195,Kepler-1195 b,Transit,8.49642241,812,0.74,0.71,2.08,0.093221,2454971.73517,Kepler
Kepler-979,Kepler-979 b,Transit,8.0880135,606,0.87,0.83,2.72,0.074033,2454971.73615,Kepler
Kepler-864,Kepler-864 b,Transit,5.83376092,1573,1,1,2.4,0.160787,2454971.74873,Kepler
Kepler-1580,Kepler-1580 b,Transit,56.6449279,872,1.47,2.15,2.11,0.62829,2454971.7829,Kepler
Kepler-53,Kepler-53 d,Transit,9.751962,1235,0.98,0.89,2.12,0.1746,2454971.7852,Kepler
Kepler-1473,Kepler-1473 b,Transit,14.4273551,625,1.09,1.09,1.19,0.1621,2454971.84132,Kepler
Kepler-1051,Kepler-1051 b,Transit,25.96200249,1021,1.43,1.73,3.4,0.261233,2454971.96618,Kepler
Kepler-481,Kepler-481 b,Transit,10.06082567,713,1.01,1.09,2.5,0.190758,2454971.96752,Kepler
Kepler-758,Kepler-758 e,Transit,8.1934719,1353,1.16,1.42,1.53,0.21029,2454971.9921,Kepler
Kepler-1046,Kepler-1046 b,Transit,14.37508035,518,1.04,1.04,1.71,0.123575,2454972.05865,Kepler
Kepler-1137,Kepler-1137 b,Transit,23.9210791,971,1.5,1.84,2.2,0.1955,2454972.07583,Kepler
Kepler-1388,Kepler-1388 d,Transit,20.9568158,492,0.63,0.61,2.86,0.14825,2454972.0875,Kepler
Kepler-797,Kepler-797 b,Transit,27.07237711,752,0.96,0.95,2.17,0.28929,2454972.11225,Kepler
Kepler-761,Kepler-761 b,Transit,10.12804789,867,0.95,0.93,2.03,0.140133,2454972.11542,Kepler
Kepler-1132,Kepler-1132 b,Transit,62.8916228,940,0.87,0.83,2.35,0.28613,2454972.12956,Kepler
Kepler-1207,Kepler-1207 b,Transit,13.68237119,946,1.06,1.06,1.62,0.17346,2454972.1874,Kepler
Kepler-931,Kepler-931 b,Transit,8.03755877,490,0.86,0.81,1.33,0.116108,2454972.35639,Kepler
Kepler-1485,Kepler-1485 b,Transit,19.9157725,550,1.11,1.12,1.47,0.25642,2454972.37298,Kepler
Kepler-846,Kepler-846 b,Transit,19.80792185,1233,0.94,0.91,2.48,0.14683,2454972.37785,Kepler
Kepler-909,Kepler-909 b,Transit,13.93290318,318,1.17,1.23,1.47,0.104662,2454972.41195,Kepler
Kepler-1283,Kepler-1283 b,Transit,12.9460978,1452,1.16,1.25,1.91,0.39929,2454972.4214,Kepler
Kepler-813,Kepler-813 b,Transit,19.12947337,840,0.95,0.93,2.14,0.15654,2454972.43468,Kepler
Kepler-958,Kepler-958 b,Transit,9.7678805,467,0.91,0.86,2.06,0.081142,2454972.437821,Kepler
Kepler-488,Kepler-488 b,Transit,3.12082923,1157,1.07,1.09,15.79,0.090829,2454972.466272,Kepler
Kepler-1094,Kepler-1094 b,Transit,78.1000231,1371,1.14,1.21,3.18,0.34675,2454972.49588,Kepler
Kepler-869,Kepler-869 b,Transit,40.4287755,957,0.97,0.95,3.61,0.31471,2454972.50229,Kepler
Kepler-1321,Kepler-1321 b,Transit,11.12830484,547,0.54,0.53,4.92,0.115488,2454972.54167,Kepler
Kepler-873,Kepler-873 b,Transit,20.5533844,1397,1.18,1.27,3.75,0.21245,2454972.55817,Kepler
KOI-351,KOI-351 c,Transit,8.719375,780,1.2,1.2,1.19,0.1838,2454972.5687,Kepler
Kepler-478,Kepler-478 b,Transit,13.2217576,420,0.85,0.8,2.71,0.121121,2454972.570157,Kepler
Kepler-1291,Kepler-1291 b,Transit,8.63043276,982,0.84,0.8,1.66,0.13046,2454972.5825,Kepler
Kepler-1287,Kepler-1287 b,Transit,11.47685909,1027,0.96,0.94,1.54,0.11258,2454972.62986,Kepler
Kepler-1301,Kepler-1301 b,Transit,9.08237046,816,0.85,0.81,1.4,0.08437,2454972.65023,Kepler
Kepler-1556,Kepler-1556 b,Transit,8.82713457,1060,0.97,0.95,1.96,0.08692,2454972.7355,Kepler
Kepler-899,Kepler-899 b,Transit,19.17891293,1038,0.93,0.91,2.68,0.217,2454972.74661,Kepler
Kepler-477,Kepler-477 b,Transit,11.11990653,367,0.87,0.79,2.07,0.138733,2454972.752936,Kepler
Kepler-883,Kepler-883 b,Transit,12.98495573,549,1.06,1.09,1.78,0.144038,2454972.78176,Kepler
Kepler-954,Kepler-954 b,Transit,16.78176602,224,0.82,0.76,2.32,0.156387,2454972.793332,Kepler
Kepler-1180,Kepler-1180 b,Transit,16.8601286,1284,1.09,1.14,1.99,0.23137,2454972.84599,Kepler
Kepler-1211,Kepler-1211 b,Transit,11.01816836,1486,0.96,0.94,2.55,0.18879,2454972.88044,Kepler
Kepler-1452,Kepler-1452 b,Transit,42.913751,974,1.41,2.06,2.7,0.21338,2454972.88854,Kepler
Kepler-1212,Kepler-1212 b,Transit,12.94130146,1304,1.1,1.15,2.14,0.18617,2454972.89312,Kepler
Kepler-769,Kepler-769 b,Transit,7.42608998,1362,1.19,1.28,2.92,0.154237,2454972.90046,Kepler
Kepler-789,Kepler-789 b,Transit,8.63847725,915,1.01,1.02,2.12,0.226254,2454972.94642,Kepler
Kepler-1063,Kepler-1063 b,Transit,14.07971466,365,1.09,1.14,1.49,0.055642,2454972.95846,Kepler
Kepler-1508,Kepler-1508 b,Transit,20.7056504,892,1.14,1.22,1.33,0.37621,2454972.9846,Kepler
Kepler-1652,Kepler-1652 b,Transit,38.09722,252,0.4,0.38,1.6,0.135,2454973.0045,Kepler
Kepler-1311,Kepler-1311 b,Transit,11.1726994,705,1.05,1.4,1.24,0.25029,2454973.00554,Kepler
Kepler-750,Kepler-750 b,Transit,9.42887179,1181,1.15,1.23,3.07,0.183846,2454973.10594,Kepler
Kepler-815,Kepler-815 b,Transit,8.57503552,1199,1.25,3.42,4.11,0.35604,2454973.13883,Kepler
Kepler-1155,Kepler-1155 b,Transit,33.469743,987,1.03,1.03,2.03,0.18804,2454973.15101,Kepler
Kepler-1165,Kepler-1165 b,Transit,9.478522,1081,1.13,1.18,1.55,0.25929,2454973.16662,Kepler
Kepler-852,Kepler-852 b,Transit,44.9309804,854,1.19,1.16,2.54,0.27075,2454973.20427,Kepler
Kepler-1353,Kepler-1353 b,Transit,24.7543966,596,0.76,0.72,1.8,0.14717,2454973.20475,Kepler
Kepler-758,Kepler-758 b,Transit,12.1097104,1353,1.16,1.42,2.48,0.242,2454973.21293,Kepler
Kepler-1332,Kepler-1332 b,Transit,11.87456832,515,0.95,0.9,1.37,0.082925,2454973.21371,Kepler
Kepler-1378,Kepler-1378 b,Transit,11.95398936,562,0.7,0.67,2.2,0.11017,2454973.26442,Kepler
Kepler-1062,Kepler-1062 b,Transit,9.30412078,388,0.75,0.7,1.76,0.078808,2454973.34013,Kepler
Kepler-1256,Kepler-1256 b,Transit,12.4127754,862,1.17,1.36,1.49,0.18204,2454973.36032,Kepler
Kepler-1436,Kepler-1436 b,Transit,9.705716,1142,1.06,1.09,1.31,0.28842,2454973.3731,Kepler
Kepler-1479,Kepler-1479 b,Transit,14.53261362,619,0.99,0.98,1.83,0.100329,2454973.46784,Kepler
KOI-351,KOI-351 h,Transit,331.60059,780,1.2,1.2,11.3,0.614,2454973.49631,Kepler
Kepler-1498,Kepler-1498 b,Transit,48.051405,740,0.86,0.81,1.33,0.31825,2454973.501,Kepler
Kepler-1243,Kepler-1243 b,Transit,16.8320729,877,0.96,0.94,1.75,0.16346,2454973.5288,Kepler
Kepler-1483,Kepler-1483 b,Transit,9.5085156,1327,1.25,1.4,1.52,0.18254,2454973.55871,Kepler
Kepler-781,Kepler-781 b,Transit,13.2140732,1036,0.81,0.78,2.89,0.142671,2454973.58725,Kepler
Kepler-865,Kepler-865 b,Transit,14.16399294,664,0.93,0.92,2.49,0.180171,2454973.5901,Kepler
Kepler-1428,Kepler-1428 b,Transit,10.67607169,802,1.28,1.36,1.64,0.18954,2454973.59244,Kepler
Kepler-1305,Kepler-1305 b,Transit,13.5630972,1343,0.97,0.96,1.88,0.23467,2454973.6532,Kepler
Kepler-1144,Kepler-1144 b,Transit,17.14647302,1012,0.98,0.96,1.99,0.16004,2454973.66098,Kepler
Kepler-1329,Kepler-1329 b,Transit,9.33646594,624,0.72,0.69,2.17,0.094321,2454973.68079,Kepler
Kepler-955,Kepler-955 b,Transit,14.53244172,637,0.89,0.84,3.13,0.132217,2454973.724798,Kepler
Kepler-798,Kepler-798 b,Transit,13.71933369,1085,1.19,1.29,2.39,0.230942,2454973.74786,Kepler
Kepler-1232,Kepler-1232 b,Transit,26.7839183,740,0.92,0.89,1.93,0.18821,2454973.75391,Kepler
Kepler-1484,Kepler-1484 b,Transit,30.4549136,1095,0.94,0.92,2.11,0.25596,2454973.76313,Kepler
Kepler-1450,Kepler-1450 b,Transit,54.5094166,490,0.71,0.68,1.71,0.17592,2454973.82631,Kepler
Kepler-1262,Kepler-1262 b,Transit,8.67900242,1153,0.99,0.98,1.82,0.11812,2454973.90699,Kepler
Kepler-995,Kepler-995 b,Transit,28.26731672,659,0.83,0.8,2.7,0.190388,2454973.92495,Kepler
Kepler-1188,Kepler-1188 b,Transit,17.1369543,1202,1.04,1.06,2.08,0.26525,2454974.01371,Kepler
Kepler-1501,Kepler-1501 b,Transit,14.5564533,888,1.2,1.3,1.56,0.1904,2454974.04324,Kepler
Kepler-907,Kepler-907 b,Transit,15.86621821,352,1.08,1.38,1.2,0.172929,2454974.08805,Kepler
Kepler-31,Kepler-31 c,Transit,42.6318,2100,1.21,1.22,5.3,0.251,2454974.191,Kepler
Kepler-1382,Kepler-1382 b,Transit,16.3583055,730,1.36,1.72,1.88,0.39888,2454974.2569,Kepler
Kepler-1396,Kepler-1396 b,Transit,18.2206421,1236,1.18,1.27,2.07,0.22137,2454974.37434,Kepler
Kepler-50,Kepler-50 b,Transit,7.81254,255,1.24,1.58,1.71,0.1583,2454974.376,Kepler
Kepler-1112,Kepler-1112 b,Transit,14.36267939,1734,1.34,1.54,3.02,0.192729,2454974.43634,Kepler
Kepler-1451,Kepler-1451 b,Transit,35.622233,1159,1,0.99,3.35,0.21442,2454974.45791,Kepler
Kepler-1261,Kepler-1261 b,Transit,48.4308991,795,0.82,0.77,2.26,0.15646,2454974.46029,Kepler
Kepler-1405,Kepler-1405 b,Transit,28.2274184,1605,1.05,1.07,3.96,0.23533,2454974.49347,Kepler
Kepler-1437,Kepler-1437 b,Transit,10.9295461,1182,0.93,0.9,1.37,0.25258,2454974.4947,Kepler
Kepler-1114,Kepler-1114 b,Transit,14.97435694,427,0.87,0.83,1.35,0.101287,2454974.50172,Kepler
Kepler-1380,Kepler-1380 b,Transit,10.3108245,1209,0.96,0.94,1.43,0.23513,2454974.51174,Kepler
Kepler-1196,Kepler-1196 b,Transit,66.1849031,946,0.98,0.97,2.23,0.1995,2454974.61516,Kepler
Kepler-751,Kepler-751 b,Transit,17.44490636,748,0.87,0.84,2.46,0.170783,2454974.67788,Kepler
